year,ward,cost,category,program,description,FNODE_ID,TNODE_ID,OBJECTID,TRANS_ID,PRE_DIR,STREET_NAM,STREET_TYP,F_CROSS,T_CROSS,MIN_ADDR,MAX_ADDR
2012,2,"$73,623.00",Streets & Transportation,Curb & Gutter Menu,ON W HARRISON ST FROM S WASHTENAW AV (2700 W) TO S CALIFORNIA AV (2800 W),29261,22786,21076,121689,W,HARRISON,ST,600 S WASHTENAW AVE ,600 S CALIFORNIA AVE ,2700,2759
2012,2,"$21,113.00",Streets & Transportation,Sidewalk Menu,ON HARRISON FROM S CALIFORNIA AV (2800 W) TO S WASHTENAW AV (2700 W),29261,22786,21076,121689,W,HARRISON,ST,600 S WASHTENAW AVE ,600 S CALIFORNIA AVE ,2700,2759
2012,2,"$3,394.00",Streets & Transportation,Sidewalk Menu,800 S STATE ST,,,,,,,,,,,
2012,2,"$19,182.00",Streets & Transportation,Sidewalk Menu,ON S JEFFERSON ST FROM W TILDEN ST (426 S) TO W VAN BUREN ST (400 S),26251,33238,4654,117342,S,JEFFERSON,ST,600 W VAN BUREN ST ,600 W TILDEN ST ,400,431
2012,2,"$107,489.00",Streets & Transportation,Street Resurfacing Menu,ON S LAFLIN ST FROM W POLK ST (800 S) TO W FILLMORE,2203,36644,31608,150061,S,LAFLIN,ST,1500 W POLK ST ,901 S   ,800,864
2012,2,"$107,489.00",Streets & Transportation,Street Resurfacing Menu,ON S LAFLIN ST FROM W POLK ST (800 S) TO W FILLMORE,17841,2203,35199,118467,S,LAFLIN,ST,1499 W LEXINGTON ST ,1500 W POLK ST ,712,737
2012,2,"$66,167.00",Streets & Transportation,Street Resurfacing Menu,ON W POLK ST FROM S FRANCISCO AV (2900 W) TO S CALIFORNIA AV (2800 W),17521,88,40273,122143,W,POLK,ST,800 S CALIFORNIA AVE ,800 S FRANCISCO AVE ,2800,2859
2012,2,"$35,504.00",Streets & Transportation,Street Resurfacing Menu,ON S THROOP ST FROM W WASHBURNE AV (1225 S) TO W ROOSEVELT RD (1200 S),26583,18644,46489,150820,S,THROOP,ST,1300 W ROOSEVELT RD ,1300 W WASHBURNE AVE ,1200,1231
2012,2,"$11,500.00",Streets & Transportation,Left-Turn Arrow Menu,S CLARK ST & W HARRISON ST,17818,21970,35209,118999,S,CLARK,ST,100 W HARRISON ST ,701 S   ,600,659
2012,2,"$11,500.00",Streets & Transportation,Left-Turn Arrow Menu,S CLARK ST & W HARRISON ST,13321,17818,45157,118976,S,CLARK,ST,100 W CONGRESS PKWY ,100 W HARRISON ST ,500,559
2012,2,"$5,400.00",Lighting,Street Light Piggy Back,ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S GILES AV (300 E),,,,,,,,,,,
2012,2,"$12,000.00",Beautification,Street Light Pole Painting,ON CANAL FROM W 14 PL (1440 S) TO W ROOSEVELT RD (1200 S),,,,,,,,,,,
2012,2,"$1,200.00",Beautification,Street Light Pole Painting,ON S WOLCOTT AVE FROM W GRENSHAW ST (1120 S) TO W ROOSEVELT RD (1200 S),5795,18407,26724,119181,S,WOLCOTT,AVE,1899 W GRENSHAW ST ,1900 W ROOSEVELT RD ,1126,1155
2012,2,"$6,000.00",Beautification,Street Light Pole Painting,ON W CONGRESS PKWY FROM W OGDEN AV (1875 W) TO S,29242,34705,6667,118711,W,CONGRESS,PKWY,1885 W OGDEN AVE ,500 S WOLCOTT AVE ,1854,1859
2012,2,"$6,000.00",Beautification,Street Light Pole Painting,ON W CONGRESS PKWY FROM W OGDEN AV (1875 W) TO S,1816,29242,19641,116826,W,CONGRESS,PKWY,500 S WOOD ST ,1885 W OGDEN AVE ,1800,1849
