FNODE_ID,F_CROSS,MAX_ADDR,MIN_ADDR,OBJECTID,PRE_DIR,STREET_NAM,STREET_TYP,TNODE_ID,TRANS_ID,T_CROSS,category,cost,description,program,ward,year
11322,2141 N STAVE ST ,2719,2700,17000,W,JULIA,CT,10556,147122,  DEAD END  ,Streets & Transportation,10588.0,ON W JULIA CT FROM N STAVE ST (2728 W) TO Dead End (2726 W),Street Resurfacing Menu,1,2012
30654,2100 N CAMPBELL AVE ,2549,2500,44244,W,CHARLESTON,ST,10124,109123,2122 N MAPLEWOOD AVE ,Streets & Transportation,34143.0,ON W CHARLESTON ST FROM N CAMPBELL AV (2450 W) TO N MAPLEWOOD AV (2535 W),Street Resurfacing Menu,1,2012
23071,1838 W DIVISION ST ,1275,1200,19547,N,MARION,CT,28757,116315,1839 W ELLEN ST ,Streets & Transportation,3700.0,ON N MARION CT FROM W DIVISION ST (1200 N) TO W ELLEN ST (1320 N),Street Speed Hump Menu,1,2012
23054,1300 N LEAVITT ST ,2225,2200,17007,W,POTOMAC,AVE,31521,117000,1300 N BELL AVE ,Lighting,2500.0,W POTOMAC AVE & N LEAVITT ST,Floodlight Menu,1,2012
8193,1300 N HOYNE AVE ,2159,2100,24746,W,POTOMAC,AVE,23054,116999,1300 N LEAVITT ST ,Lighting,2500.0,W POTOMAC AVE & N LEAVITT ST,Floodlight Menu,1,2012
23168,2500 W IOWA ST ,925,900,28865,N,CAMPBELL,AVE,23150,120339,2500 W WALTON ST ,Lighting,500.0,N CAMPBELL AVE & W IOWA ST,Floodlight Menu,1,2012
3245,2499 W RICE ST ,859,828,39809,N,CAMPBELL,AVE,23168,120326,2500 W IOWA ST ,Lighting,500.0,N CAMPBELL AVE & W IOWA ST,Floodlight Menu,1,2012
27291,2400 W LE MOYNE ST ,1559,1500,26269,N,WESTERN,AVE,13907,143256,2400 W NORTH AVE ,Streets & Transportation,15011.0,N WESTERN AVE & W NORTH AVE,Pedestrian Countdown,1,2012
13907,2400 W NORTH AVE ,1663,1600,25871,N,WESTERN,AVE,14035,143293,2400 W WABANSIA AVE ,Streets & Transportation,15011.0,N WESTERN AVE & W NORTH AVE,Pedestrian Countdown,1,2012
23054,1300 N LEAVITT ST ,2225,2200,17007,W,POTOMAC,AVE,31521,117000,1300 N BELL AVE ,Lighting,11000.0,W POTOMAC AVE & N LEAVITT ST,Street Light Arterial,1,2012
8193,1300 N HOYNE AVE ,2159,2100,24746,W,POTOMAC,AVE,23054,116999,1300 N LEAVITT ST ,Lighting,11000.0,W POTOMAC AVE & N LEAVITT ST,Street Light Arterial,1,2012
10640,2538 W ARMITAGE AVE ,2099,2000,23922,N,STAVE,ST,34310,109109,2700 W FRANCIS PL ,Lighting,700.0,ON STAVE FROM W ARMITAGE AV (2000 N) TO W FRANCIS PL (2064 N),Street Light Upgrade,1,2012
23168,2500 W IOWA ST ,925,900,28865,N,CAMPBELL,AVE,23150,120339,2500 W WALTON ST ,Lighting,400.0,N CAMPBELL AVE & W IOWA ST,Street Light Upgrade,1,2012
3245,2499 W RICE ST ,859,828,39809,N,CAMPBELL,AVE,23168,120326,2500 W IOWA ST ,Lighting,400.0,N CAMPBELL AVE & W IOWA ST,Street Light Upgrade,1,2012
20577,400 S LOOMIS ST ,1461,1400,30881,W,VAN BUREN,ST,18506,117381,399 S LAFLIN ST ,Streets & Transportation,11547.0,ON W VAN BUREN ST FROM 1534 W TO S LAFLIN ST (1500 W),Alley Apron Menu,2,2012
18506,399 S LAFLIN ST ,1537,1500,31932,W,VAN BUREN,ST,18507,146434,1539 W   ,Streets & Transportation,11547.0,ON W VAN BUREN ST FROM 1534 W TO S LAFLIN ST (1500 W),Alley Apron Menu,2,2012
18754,1400 W TAYLOR ST ,1021,1000,3726,S,LOOMIS,ST,26582,118448,1400 W FILLMORE ST ,Streets & Transportation,8268.0,ON S LOOMIS ST FROM S TO W FILLMORE ST (1050 S),Alley Apron Menu,2,2012
26582,1400 W FILLMORE ST ,1125,1100,14313,S,LOOMIS,ST,28244,118449,1399 W GRENSHAW ST ,Streets & Transportation,8268.0,ON S LOOMIS ST FROM S TO W FILLMORE ST (1050 S),Alley Apron Menu,2,2012
354,1500 W TAYLOR ST ,1021,1000,7703,S,LAFLIN,ST,18394,118469,1500 W FILLMORE ST ,Streets & Transportation,9686.0,ON S LAFLIN ST FROM 1013 S TO W FILLMORE ST (1050 S),Alley Apron Menu,2,2012
18394,1500 W FILLMORE ST ,1111,1100,8942,S,LAFLIN,ST,28240,147384,1113 S   ,Streets & Transportation,9686.0,ON S LAFLIN ST FROM 1013 S TO W FILLMORE ST (1050 S),Alley Apron Menu,2,2012
18754,1400 W TAYLOR ST ,1021,1000,3726,S,LOOMIS,ST,26582,118448,1400 W FILLMORE ST ,Streets & Transportation,6638.0,ON LOOMIS FROM W TAYLOR ST (1000 S) TO W FILLMORE ST (1050 S),Alley Resurfacing Menu,2,2012
31222,42 E CERMAK RD ,2259,2200,48084,S,WABASH,AVE,35349,119248,44 E 23RD ST ,Streets & Transportation,2981.0,S WABASH AVE & S WABASH AVE & E CERMAK RD & E 23RD ST,Alley Resurfacing Menu,2,2012
