year,ward,cost,category,program,description
2012,2,"$3,797.00",Streets & Transportation,Sidewalk Menu,ON N FRANCISCO AVE FROM W WARREN BV (23 N) TO W WASHINGTON BV (100 N)
2012,2,"$21,113.00",Streets & Transportation,Sidewalk Menu,ON HARRISON FROM S CALIFORNIA AV (2800 W) TO S WASHTENAW AV (2700 W)
2012,2,"$3,394.00",Streets & Transportation,Sidewalk Menu,800 S STATE ST
2012,2,$215.00,Streets & Transportation,Sidewalk Menu,ON N CALIFORNIA AVE FROM W WASHINGTON BV (100 N) TO W LAKE ST (200 N)
2012,2,"$19,182.00",Streets & Transportation,Sidewalk Menu,ON S JEFFERSON ST FROM W TILDEN ST (426 S) TO W VAN BUREN ST (400 S)
2012,2,"$107,489.00",Streets & Transportation,Street Resurfacing Menu,ON S LAFLIN ST FROM W POLK ST (800 S) TO W FILLMORE
2012,2,"$66,167.00",Streets & Transportation,Street Resurfacing Menu,ON W POLK ST FROM S FRANCISCO AV (2900 W) TO S CALIFORNIA AV (2800 W)
2012,2,"$135,686.00",Streets & Transportation,Street Resurfacing Menu,ON S SANGAMON ST FROM W JACKSON BV (300 S) TO Dead End (414 S)
2012,2,"$35,504.00",Streets & Transportation,Street Resurfacing Menu,ON S THROOP ST FROM W WASHBURNE AV (1225 S) TO W ROOSEVELT RD (1200 S)
2012,2,"$108,718.00",Streets & Transportation,Street Resurfacing Menu,ON S THROOP ST FROM W TAYLOR ST (1000 S) TO W ROOSEVELT RD (1200 S)
2012,2,"$5,500.00",Lighting,Floodlight Menu,ON LAKE FROM N ALBANY AV (3100 W) TO N SACRAMENTO BV (3000 W)
2012,2,"$11,500.00",Streets & Transportation,Left-Turn Arrow Menu,S CLARK ST & W HARRISON ST
2012,2,"$5,400.00",Lighting,Street Light Piggy Back,ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S GILES AV (300 E)
2012,2,"$8,100.00",Lighting,Street Light Piggy Back,ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E)
2012,2,"$1,500.00",Beautification,Street Light Pole Painting,ON GREEN FROM W ADAMS ST (200 S) TO W VAN BUREN ST (400 S)
