year,ward,cost,category,program,description
2015,27,"$59,575.00",Streets & Transportation,Street Resurfacing Menu,ON N RACINE AVE FROM W LAKE ST (200 N) TO W CARROLL AVE (340 N)
2015,27,"$75,135.00",Streets & Transportation,Street Resurfacing Menu,ON N HAMLIN AVE FROM W CHICAGO AVE (800 N) TO W IOWA ST (899 N)
2015,27,"$64,670.00",Streets & Transportation,Street Resurfacing Menu,ON W CARROLL AVE FROM N RACINE AVE (1200 W) TO N ELIZABETH ST (1300 W)
2015,27,"$202,414.00",Streets & Transportation,Street Resurfacing Menu (1-5),ON W OHIO ST FROM N AVERS AVE (3830 W) TO N DRAKE AVE (3540 W)
2015,27,"$60,503.00",Streets & Transportation,Street Resurfacing Menu (1-5),ON N ABERDEEN ST FROM W GRAND AVE (500 N) TO W KINZIE ST (400 N)
2015,27,"$1,850.00",Streets & Transportation,Street Speed Hump Menu,
2015,27,"$1,850.00",Streets & Transportation,Street Speed Hump Menu,ON N NORTH PARK AVE FROM W SCHILLER ST (1400 N) TO W NORTH AVE (1600 N)
2015,27,"$3,700.00",Streets & Transportation,Street Speed Hump Menu,ON N ST LOUIS AVE FROM W HURON ST (700 N) TO W CHICAGO AVE (800 N)
2015,27,"$1,850.00",Streets & Transportation,Street Speed Hump Menu,ON N LOREL AVE FROM W OHIO ST (600 N) TO W HURON ST (700 N)
2015,27,$0.00,Streets & Transportation,Street Speed Hump Replacement,ON W OHIO ST FROM N DRAKE AVE (3540 W) TO N ST LOUIS AVE (3500 W)
2015,27,$400.00,Lighting,Street Light Upgrade Menu,232 S ASHLAND AVE 232 S. Ashland
2015,27,"$1,600.00",Lighting,Street Light Upgrade Menu,ON S LEAVITT ST FROM W 27TH ST (2700 S) TO S BLUE ISLAND AVE (2520 S) Changeout fixtures to 400 Watt
2015,27,$400.00,Lighting,Street Light Upgrade Menu,208 S ASHLAND AVE 208 S. Ashland
2015,27,"$78,000.00",Lighting,Street Light Residential Staggered Piggy Back Menu,ON N THROOP ST FROM W WASHINGTON BLVD (100 N) TO W MADISON ST (0 S) Res LED sW O # : 11552750
2015,27,"$78,000.00",Lighting,Street Light Residential Staggered Piggy Back Menu,ON N HAMLIN AVE FROM W DIVISION ST (1200 N) TO W GRAND AVE (1298 N) N Hamlin Ave from Division St to Grand Ave
2015,27,"$78,000.00",Lighting,Street Light Residential Staggered Piggy Back Menu,ON N ADA ST FROM W MADISON ST (0 S) TO W WASHINGTON BLVD (100 N) LED Res w/piggybacksW O # : 11552751
2015,28,"$4,534.00",Streets & Transportation,Alley Resurfacing Menu,ON S MAPLEWOOD AVE FROM W HARRISON ST (600 S) TO W FLOURNOY ST (700 S)
2015,28,"$5,426.00",Streets & Transportation,Alley Resurfacing Menu,W ADAMS ST & S SPRINGFIELD AVE&W WILCOX ST & S PULASKI RD
2015,28,"$6,801.00",Streets & Transportation,Alley Resurfacing Menu,S OAKLEY BLVD & W TAYLOR ST&S CLAREMONT AVE & W GRENSHAW ST
2015,28,"$37,608.00",Streets & Transportation,Alley Resurfacing Menu,W JACKSON BLVD & S RACINE AVE&W VAN BUREN ST & S THROOP ST
2015,28,"$4,076.00",Streets & Transportation,Alley Resurfacing Menu,S ASHLAND AVE & W ADAMS ST&W OGDEN AVE & W MONROE ST
2015,28,"$30,363.00",Streets & Transportation,Alley Resurfacing Menu (1-1),S HAMLIN BLVD & W JACKSON BLVD&S SPRINGFIELD AVE & W GLADYS AVE
2015,28,"$7,833.00",Streets & Transportation,Curb & Gutter Menu,ON S MAPLEWOOD AVE FROM W HARRISON ST (600 S) TO W FLOURNOY ST (700 S)
2015,28,"$5,916.00",Streets & Transportation,Curb & Gutter Menu,ON W MONROE ST FROM S KOSTNER AVE (4400 W) TO S KILBOURN AVE (4500 W)
2015,28,$600.00,Streets & Transportation,"In-Road ""State Law Stop For Pedestrians"" Signs",W JACKSON BLVD & S ALBANY AVE
2015,28,$227.00,Streets & Transportation,Miscellaneous Other Projects,3532 W MONROE ST guardrail 2014 & 2015 funds - PM: GW
2015,28,"$3,094.00",Streets & Transportation,Sidewalk Menu,ON W GLADYS AVE FROM S SPRINGFIELD AVE (3900 W) TO S PULASKI RD (4000 W)
2015,28,$151.00,Streets & Transportation,Sidewalk Menu,3113 W FIFTH AVE
2015,28,"$12,819.00",Streets & Transportation,Sidewalk Menu,ON W JACKSON BLVD FROM S SACRAMENTO BLVD (3000 W) TO S WHIPPLE ST (3040 W)
2015,28,"$2,391.00",Streets & Transportation,Sidewalk Menu,ON W MONROE ST FROM S KOSTNER AVE (4400 W) TO S KILBOURN AVE (4500 W)
2015,28,"$8,038.00",Streets & Transportation,Street Resurfacing Menu,ON S LAFLIN ST FROM W FILLMORE ST (1100 S) TO W ROOSEVELT RD (1200 S)
2015,28,"$7,699.00",Streets & Transportation,Street Resurfacing Menu,ON W FILLMORE ST FROM S LOOMIS ST (1400 W) TO S LAFLIN ST (1500 W)
2015,28,"$109,883.00",Streets & Transportation,Street Resurfacing Menu,ON W GLADYS AVE FROM S KEELER AVE (4200 W) TO S KOSTNER AVE (4400 W)
2015,28,"$23,833.00",Streets & Transportation,Street Resurfacing Menu,ON S KARLOV AVE FROM W JACKSON BLVD (300 S) TO W GLADYS AVE (330 S)
2015,28,"$28,847.00",Streets & Transportation,Street Resurfacing Menu,ON W ADAMS ST FROM S LEAMINGTON AVE (5100 W) TO S LARAMIE AVE (5200 W)
2015,28,"$16,347.00",Streets & Transportation,Street Resurfacing Menu,ON S MAPLEWOOD AVE FROM W HARRISON ST (600 S) TO W FLOURNOY ST (700 S)
2015,28,"$36,637.00",Streets & Transportation,Street Resurfacing Menu,ON W ARTHINGTON ST FROM S ADA ST (1300 W) TO S LOOMIS ST (1400 W)
2015,28,"$106,888.00",Streets & Transportation,Street Resurfacing Menu,ON W ADAMS ST FROM S HAMLIN BLVD (3800 W) TO S PULASKI RD (4000 W)
2015,28,"$33,375.00",Streets & Transportation,Street Resurfacing Menu,ON S LAMON AVE FROM W WASHINGTON BLVD (100 N) TO W WEST END AVE (150 N)
2015,28,"$24,541.00",Streets & Transportation,Street Resurfacing Menu,ON S KARLOV AVE FROM W VAN BUREN ST (400 S) TO W CONGRESS PKWY (500 S)
2015,28,"$45,466.00",Streets & Transportation,Street Resurfacing Menu,ON W GLADYS AVE FROM S KARLOV AVE (4100 W) TO S KEELER AVE (4200 W)
2015,28,"$20,289.00",Streets & Transportation,Street Resurfacing Menu,ON W WASHINGTON BLVD FROM N LEAMINGTON AVE (5130 W) TO N LARAMIE AVE
2015,28,"$37,724.00",Streets & Transportation,Street Resurfacing Menu,ON W GLADYS AVE FROM S LAVERGNE AVE (5000 W) TO S LEAMINGTON AVE (5100 W)
2015,28,"$12,246.00",Streets & Transportation,Street Resurfacing Menu (1-5),ON S ALBANY AVE FROM W ARTHINGTON ST (900 S) TO W TAYLOR ST (1000 S)
2015,28,"$21,323.00",Streets & Transportation,Street Resurfacing Menu (1-5),ON W KINZIE ST FROM N LEAMINGTON AVE (5140 W) TO N LARAMIE AVE (5200 W)
2015,28,"$13,224.00",Streets & Transportation,Street Resurfacing Menu (1-5),ON W WASHBURNE AVE FROM S ASHLAND AVE (1600 W) TO S LAFLIN ST (1500 W)
2015,28,"$1,850.00",Streets & Transportation,Street Speed Hump Menu,ON W FIFTH AVE FROM S CENTRAL PARK BLVD (3600 W) TO S MILLARD AVE (3630 W)
2015,28,"$3,700.00",Streets & Transportation,Street Speed Hump Menu,ON W FULTON ST FROM N ST LOUIS AVE (3500 W) TO N CENTRAL PARK AVE (3600 W)
2015,28,"$7,400.00",Streets & Transportation,Street Speed Hump Menu,ON W MAYPOLE AVE FROM N KEELER AVE (4200 W) TO N KOSTNER AVE (4400 W)
2015,28,"$3,700.00",Streets & Transportation,Street Speed Hump Menu,ON W VAN BUREN ST FROM S HAMLIN BLVD (3800 W) TO S SPRINGFIELD AVE (3900 W)
2015,28,"$1,850.00",Streets & Transportation,Street Speed Hump Menu,ON W ADAMS ST FROM S KILBOURN AVE (4500 W) TO S KENTON AVE (4600 W)
2015,28,$0.00,Streets & Transportation,Street Speed Hump Replacement,ON S MAPLEWOOD AVE FROM W HARRISON ST (600 S) TO W FLOURNOY ST (700 S)
2015,28,$0.00,Streets & Transportation,Street Speed Hump Replacement,ON W GLADYS AVE FROM S KEELER AVE (4200 W) TO S KOSTNER AVE (4400 W)
2015,28,$0.00,Streets & Transportation,Street Speed Hump Replacement,ON W ADAMS ST FROM S SPRINGFIELD AVE (3900 W) TO S HAMLIN BLVD (3800 W)
2015,28,"$14,905.00",Streets & Transportation,Pedestrian Countdown Signal Menu,S ASHLAND AVE & W ROOSEVELT RD -
2015,28,"$6,300.00",Beautification,Street Light Pole Painting Menu,ON S SACRAMENTO AVE FROM W POLK ST (800 S) TO W ROOSEVELT RD (1200 S) Sacramento-Polk to Roosevelt
2015,28,"$3,500.00",Security Cameras,Street Light Pole POD Camera Menu,4536 W MONROE ST Install Pole for Police Camera
2015,28,$400.00,Lighting,Street Light Upgrade Menu,1534 S WASHTENAW AVE . Current W.O # : 11532800 -
2015,28,$400.00,Lighting,Street Light Upgrade Menu,1556 S WASHTENAW AVE . Current W.O # : 11532800 -
2015,28,$400.00,Lighting,Street Light Upgrade Menu,3346 W MONROE ST . Current W.O # : 11532801 -
2015,28,$400.00,Lighting,Street Light Upgrade Menu,3362 W MONROE ST . Current W.O # : 11532801 -
2015,28,"$8,400.00",Lighting,Street Light Upgrade Menu,ON S SACRAMENTO AVE FROM W POLK ST (800 S) TO W ROOSEVELT RD (1200 S) Sacramento-Polk to Roosevelt
2015,28,$400.00,Lighting,Street Light Upgrade Menu,3330 W MONROE ST . Current W.O # : 11532801 -
2015,28,$400.00,Lighting,Street Light Upgrade Menu,3358 W MONROE ST . Current W.O # : 11532801 -
2015,28,"$2,950.00",Beautification,Traffic Signal Pole Painting Menu,ON S SACRAMENTO AVE FROM W POLK ST (800 S) TO W ROOSEVELT RD (1200 S) Sacramento-Polk to Roosevelt
2015,28,"$101,400.00",Lighting,Street Light Residential Staggered Piggy Back Menu,LED Residential w/piggybacks. Current W.O # : 11552850 - to construction
2015,28,"$117,000.00",Lighting,Street Light Residential Staggered Piggy Back Menu,LED Residential w/piggybacks. Current W.O # : 11552852 - in Design
2015,28,"$117,000.00",Lighting,Street Light Residential Staggered Piggy Back Menu,LED Residentail w/piggybacks. Current W.O # : 11552851 - in Design
2015,28,"$250,000.00",Parks & Recreation,Chicago Park District,5085 W ADAMS ST Moore Park
2015,28,"$9,400.00",Schools & Libraries,Chicago Public Schools,749 S OAKLEY BLVD Sidewalk at Washington/Irving School -
2015,29,"$8,211.00",Streets & Transportation,Alley Apron Menu,7041 W SCHOOL ST
2015,29,"$8,448.00",Streets & Transportation,Alley Apron Menu,6832 W ARMITAGE AVE
2015,29,"$32,514.00",Streets & Transportation,Alley Resurfacing Menu,NTOMA AVE & W CORTLAND ST&N NORMANDY AVE & W BLOOMINGDALE AVE
2015,29,"$32,250.00",Streets & Transportation,Alley Resurfacing Menu,N MERRIMAC AVE & W NORTH AVE&N MOBILE AVE & W WABANSIA AVE
2015,29,"$34,348.00",Streets & Transportation,Alley Resurfacing Menu,W WABANSIA AVE & NSHVILLE AVE&W BLOOMINGDALE AVE & NTOMA AVE
2015,29,"$42,292.00",Streets & Transportation,Alley Resurfacing Menu,N MELVINA AVE & W WABANSIA AVE&N MERRIMAC AVE & W BLOOMINGDALE AVE
2015,29,"$13,537.00",Streets & Transportation,Alley Resurfacing Menu,N HARLEM AVE & W GRAND AVE&N NEVA AVE & W ALTGELD ST
2015,29,"$55,914.00",Streets & Transportation,Alley Resurfacing Menu (1-1),W WABANSIA AVE & NRRAGANSETT AVE&W NORTH AVE & N MOBILE AVE
2015,29,"$2,100.00",Streets & Transportation,Alley Speed Hump Menu,N HARLEM AVE & W GRAND AVE&N NEVA AVE & W ALTGELD ST
2015,29,$0.00,Streets & Transportation,Alley Speed Hump Replacement,
2015,29,"$1,400.00",Streets & Transportation,Pavement Markings Menu,W NORTH AVE & N OAK PARK AVE
2015,29,"$1,117.00",Streets & Transportation,Sidewalk Menu,ON N NORDICA AVE FROM W SCHOOL ST (3300 N) TO W HENDERSON ST (3330 N)
2015,29,"$5,585.00",Streets & Transportation,Sidewalk Menu,ON N MONT CLARE AVE FROM W WRIGHTWOOD AVE (2600 N) TO W SCHUBERT AVE (2700 N)
2015,29,"$3,965.00",Streets & Transportation,Sidewalk Menu,ON N OCTAVIA AVE FROM W BARRY AVE (3100 N) TO W BELMONT AVE (3200 N)
2015,29,"$46,033.00",Streets & Transportation,Street Resurfacing Menu,ON W LEXINGTON ST FROM S LEAMINGTON AVE (5100 W) TO S LARAMIE AVE (5200 W)
2015,29,"$35,075.00",Streets & Transportation,Street Resurfacing Menu,ON S LOCKWOOD AVE FROM W JACKSON BLVD (300 S) TO W VAN BUREN ST (400 S)
2015,29,"$50,272.00",Streets & Transportation,Street Resurfacing Menu,ON W CORTLAND ST FROM NSHVILLE AVE (6600 W) TO NTOMA AVE (6630 W)
2015,29,"$44,107.00",Streets & Transportation,Street Resurfacing Menu,ON W GLADYS AVE FROM S LAVERGNE AVE (5000 W) TO S LEAMINGTON AVE (5100 W)
2015,29,"$119,098.00",Streets & Transportation,Street Resurfacing Menu,ON N MCVICKER AVE FROM W NORTH AVE (1600 N) TO W BLOOMINGDALE AVE (1800 N)
2015,29,"$32,924.00",Streets & Transportation,Street Resurfacing Menu,ON N MASON AVE FROM W FULTON ST (300 N) TO W CORCORAN PL (400 N)
2015,29,"$48,610.00",Streets & Transportation,Street Resurfacing Menu,ON W WABANSIA AVE FROM N NORDICA AVE (7100 W) TO N SAYRE AVE (7000 W)
2015,29,"$60,950.00",Streets & Transportation,Street Resurfacing Menu,ON N WALLER AVE FROM W THOMAS ST (1100 N) TO W DIVISION ST (1200 N)
2015,29,"$47,255.00",Streets & Transportation,Street Resurfacing Menu,ON N MASON AVE FROM W BLOOMINGDALE AVE (1800 N) TO W CORTLAND ST (1900 N)
2015,29,"$52,938.00",Streets & Transportation,Street Resurfacing Menu,ON W GLADYS AVE FROM S LOCKWOOD AVE (5300 W) TO S LOTUS AVE (5500 W)
2015,29,"$165,656.00",Streets & Transportation,Street Resurfacing Menu,ON W GLADYS AVE FROM S CICERO AVE (4800 W) TO S LARAMIE AVE (5200 W)
2015,29,"$36,952.00",Streets & Transportation,Street Resurfacing Menu,ON N MAYFIELD AVE FROM W WEST END AVE (200 N) TO W FULTON ST (300 N)
2015,29,"$52,716.00",Streets & Transportation,Street Resurfacing Menu,ON W ERIE ST FROM N MAYFIELD AVE (5900 W) TO N AUSTIN BLVD (6000 W)
2015,29,"$35,100.00",Streets & Transportation,Street Resurfacing Menu,ON W WABANSIA AVE FROM N HARLEM AVE (7200 W) TO N NEVA AVE (7150 W)
2015,29,"$52,522.00",Streets & Transportation,Street Resurfacing Menu,ON W POTOMAC AVE FROM N MASSASOIT AVE (5730 W) TO N MONITOR AVE (5830 W)
2015,29,"$43,445.00",Streets & Transportation,Street Resurfacing Menu (1-5),ON N OCONTO AVE FROM W SCHOOL ST (3300 N) TO W ROSCOE ST (3400 N)
2015,29,"$77,480.00",Streets & Transportation,Street Resurfacing Menu (1-5),ON W BLOOMINGDALE AVE FROM N OAK PARK AVE (6800 W) TO N NEWLAND AVE (6930 W)
2015,29,"$54,988.00",Streets & Transportation,Street Resurfacing Menu (1-5),ON W CONGRESS PKWY FROM S LOTUS AVE (5500 W) TO S CENTRAL AVE (5600 W)
2015,29,"$3,700.00",Streets & Transportation,Street Speed Hump Menu,ON N MENARD AVE FROM W AUGUSTA BLVD (1000 N) TO W THOMAS ST (1100 N)
2015,29,"$1,850.00",Streets & Transportation,Street Speed Hump Menu,ON N MULLIGAN AVE FROM W BLOOMINGDALE AVE (1800 N) TO W CORTLAND ST (1900 N)
2015,29,"$3,700.00",Streets & Transportation,Street Speed Hump Menu,ON W BLOOMINGDALE AVE FROM N OAK PARK AVE (6800 W) TO N NEWLAND AVE (6930 W)
2015,29,"$1,850.00",Streets & Transportation,Street Speed Hump Menu,ON W BLOOMINGDALE AVE FROM N MOODY AVE (6130 W) TO N MCVICKER AVE (6030 W)
2015,29,"$3,700.00",Streets & Transportation,Street Speed Hump Menu,ON N NEW ENGLAND AVE FROM W NORTH AVE (1600 N) TO W WABANSIA AVE (1700 N)
2015,29,$0.00,Streets & Transportation,Street Speed Hump Replacement,ON W GLADYS AVE FROM S LARAMIE AVE (5200 W) TO S CICERO AVE (4800 W)
2015,29,$0.00,Streets & Transportation,Street Speed Hump Replacement,ON W VAN BUREN ST FROM S LOCKWOOD AVE (5300 W) TO S LOTUS AVE (5500 W)
2015,29,$0.00,Streets & Transportation,Street Speed Hump Replacement,ON W GLADYS AVE FROM S LEAMINGTON AVE (5100 W) TO S LAVERGNE AVE (5000 W)
2015,29,$0.00,Streets & Transportation,Street Speed Hump Replacement,ON N MAYFIELD AVE FROM W WEST END AVE (200 N) TO W FULTON ST (300 N)
2015,29,$0.00,Streets & Transportation,Street Speed Hump Replacement,ON W CONGRESS PKWY FROM S LOTUS AVE (5500 W) TO S CENTRAL AVE (5600 W)
2015,29,$0.00,Streets & Transportation,Alley Speed Hump Replacement,N MERRIMAC AVE & W WABANSIA AVE&N MOBILE AVE & W NORTH AVE
2015,30,"$12,294.00",Streets & Transportation,Alley Apron Menu,2745 N MOODY AVE
2015,30,"$10,978.00",Streets & Transportation,Alley Apron Menu,ON W CORNELIA AVE FROM 4735 W TO N KEATING AVE (4740 W)
2015,30,"$8,805.00",Streets & Transportation,Alley Apron Menu,ON N PARKSIDE AVE FROM 2746 N TO W DIVERSEY AVE (2800 N)
2015,30,"$25,702.00",Streets & Transportation,Alley Resurfacing Menu,W WAVELAND AVE & N LECLAIRE AVE&W WARWICK AVE & N LAVERGNE AVE
2015,30,"$34,144.00",Streets & Transportation,Alley Resurfacing Menu,W MELROSE ST & N AUSTIN AVE&W BELMONT AVE & N MEADE AVE
2015,30,"$32,146.00",Streets & Transportation,Alley Resurfacing Menu (1-1),W PATTERSON AVE & N CICERO AVE&W WAVELAND AVE & N LAMON AVE
2015,30,$700.00,Streets & Transportation,Alley Speed Hump Menu,W BARRY AVE & N PULASKI RD&W BARRY AVE & N DAVLIN CT
2015,30,$700.00,Streets & Transportation,Alley Speed Hump Menu,W CORNELIA AVE & N KEDVALE AVE&W NEWPORT AVE & N KARLOV AVE
2015,30,"$2,100.00",Streets & Transportation,Alley Speed Hump Menu,N PULASKI RD & W EDDY ST&N SPRINGFIELD AVE & W CORNELIA AVE
2015,30,"$2,800.00",Streets & Transportation,Alley Speed Hump Menu,W BELMONT AVE & N RIDGEWAY AVE&W SCHOOL ST & N LAWNDALE AVE
2015,30,"$1,400.00",Streets & Transportation,Alley Speed Hump Menu,N CICERO AVE & W GRACE ST&N KILPATRICK AVE & W BERENICE AVE
2015,30,$700.00,Streets & Transportation,Alley Speed Hump Menu,N RIDGEWAY AVE & W SCHOOL ST&N LAWNDALE AVE & W BELMONT AVE
2015,30,$0.00,Streets & Transportation,Alley Speed Hump Replacement,W WAVELAND AVE & N LAVERGNE AVE&W PATTERSON AVE & N LECLAIRE AVE
2015,30,$0.00,Streets & Transportation,Alley Speed Hump Replacement,W WAVELAND AVE & N CICERO AVE&W PATTERSON AVE & N KILPATRICK AVE
2015,30,"$125,000.00",Streets & Transportation,Concrete Alley Menu,N HAMLIN AVE & W SCHOOL ST&N AVERS AVE & W ROSCOE ST
2015,30,"$2,233.00",Streets & Transportation,Curb & Gutter Menu,ON N PULASKI RD FROM W ROSCOE ST (3400 N) TO W CORNELIA AVE (3500 N)
2015,30,"$5,812.00",Streets & Transportation,Curb & Gutter Menu,ON W CORNELIA AVE FROM 4735 W TO N KEATING AVE (4740 W)
2015,30,"$1,770.00",Streets & Transportation,Curb & Gutter Menu,ON N LAWNDALE AVE FROM W SCHOOL ST (3300 N) TO W ROSCOE ST (3400 N)
2015,30,"$8,431.00",Streets & Transportation,Curb & Gutter Menu,ON W SCHUBERT AVE FROM N AUSTIN AVE (6000 W) TO N MCVICKER AVE (6030 W)
2015,30,"$6,269.00",Streets & Transportation,Curb & Gutter Menu,ON W WELLINGTON AVE FROM N AVERS AVE (3830 W) TO N HAMLIN AVE (3800 W)
2015,30,$350.00,Streets & Transportation,"In-Road ""State Law Stop For Pedestrians"" Signs",N SPRINGFIELD AVE & W DIVERSEY AVE
2015,30,"$2,400.00",Streets & Transportation,Pavement Markings Menu,N AVONDALE AVE & W EDDY ST
2015,30,$700.00,Streets & Transportation,Pavement Markings Menu,W DIVERSEY AVE & N MANGO AVE
2015,30,"$1,080.00",Streets & Transportation,Sidewalk Menu,ON W WAVELAND AVE FROM N LAVERGNE AVE (5000 W) TO N LECLAIRE AVE (5100 W)
2015,30,"$6,083.00",Streets & Transportation,Sidewalk Menu,ON N HARDING AVE FROM W BARRY AVE (3100 N) TO W BELMONT AVE (3200 N)
2015,30,"$12,546.00",Streets & Transportation,Sidewalk Menu,ON N KENNETH AVE FROM W SCHOOL ST (3300 N) TO W ROSCOE ST (3400 N)
2015,30,"$35,614.00",Streets & Transportation,Sidewalk Menu,ON N LAWNDALE AVE FROM W SCHOOL ST (3300 N) TO W ROSCOE ST (3400 N)
2015,30,"$7,838.00",Streets & Transportation,Sidewalk Menu,ON W CORNELIA AVE FROM N KILBOURN AVE (4500 W) TO N KENTON AVE (4600 W)
2015,30,"$23,303.00",Streets & Transportation,Sidewalk Menu,ON W ALTGELD ST FROM N CENTRAL AVE (5600 W) TO N LUNA AVE (5530 W)
2015,30,"$5,254.00",Streets & Transportation,Sidewalk Menu,3224 N RIDGEWAY AVE
2015,30,"$2,338.00",Streets & Transportation,Sidewalk Menu,2829 N MOBILE AVE
2015,30,"$6,533.00",Streets & Transportation,Sidewalk Menu,ON W WRIGHTWOOD AVE FROM N AUSTIN AVE (6000 W) TO N MEADE AVE (6100 W)
2015,30,"$3,926.00",Streets & Transportation,Sidewalk Menu,ON N MILWAUKEE AVE FROM N KEELER AVE (3500 N) TO W ADDISON ST (3600 N)
2015,30,"$3,519.00",Streets & Transportation,Sidewalk Menu,ON N MANGO AVE FROM W SCHUBERT AVE (2700 N) TO W DIVERSEY AVE (2800 N)
2015,30,"$12,492.00",Streets & Transportation,Sidewalk Menu,ON W CORNELIA AVE FROM N KILDARE AVE (4300 W) TO N KOSTNER AVE (4400 W)
2015,30,"$8,884.00",Streets & Transportation,Sidewalk Menu,ON W PATTERSON AVE FROM N LONG AVE (5400 W) TO N LOCKWOOD AVE (5300 W)
2015,30,"$6,099.00",Streets & Transportation,Sidewalk Menu,ON N MCVICKER AVE FROM W WRIGHTWOOD AVE (2600 N) TO W SCHUBERT AVE (2700 N)
2015,30,"$3,217.00",Streets & Transportation,Sidewalk Menu,3446 N KILPATRICK AVE
2015,30,"$3,467.00",Streets & Transportation,Sidewalk Menu,ON W GEORGE ST FROM N HAMLIN AVE (3800 W) TO N SPRINGFIELD AVE (3900 W)
2015,30,"$11,900.00",Streets & Transportation,Sidewalk Menu,ON N KARLOV AVE FROM W ROSCOE ST (3400 N) TO W NEWPORT AVE (3430 N)
2015,30,"$12,846.00",Streets & Transportation,Sidewalk Menu,ON N KILBOURN AVE FROM W SCHOOL ST (3300 N) TO W ROSCOE ST (3400 N)
2015,30,"$9,227.00",Streets & Transportation,Sidewalk Menu,ON W SCHOOL ST FROM N LINDER AVE (5500 W) TO N CENTRAL AVE (5600 W)
2015,30,"$15,373.00",Streets & Transportation,Sidewalk Menu,ON N AVONDALE AVE FROM N PULASKI RD (3850 N) TO N HARDING AVE (3800 N)
2015,30,"$23,638.00",Streets & Transportation,Sidewalk Menu,ON N HAMLIN AVE FROM W SCHOOL ST (3300 N) TO W ROSCOE ST (3400 N)
2015,30,"$7,126.00",Streets & Transportation,Sidewalk Menu,ON N LAWNDALE AVE FROM W GEORGE ST (2900 N) TO N MILWAUKEE AVE (3060 N)
2015,30,"$4,316.00",Streets & Transportation,Sidewalk Menu,ON N PARKSIDE AVE FROM W WRIGHTWOOD AVE (2600 N) TO W SCHUBERT AVE (2700 N)
2015,30,"$18,353.00",Streets & Transportation,Sidewalk Menu,ON N MONITOR AVE FROM W WRIGHTWOOD AVE (2600 N) TO W ALTGELD ST (2500 N)
2015,30,"$2,650.00",Streets & Transportation,Sidewalk Menu,ON N MAJOR AVE FROM W DIVERSEY AVE (2800 N) TO W GEORGE ST (2900 N)
2015,30,"$62,358.00",Streets & Transportation,Street Resurfacing Menu,ON W FLETCHER ST FROM N LARAMIE AVE (5200 W) TO N LOCKWOOD AVE (5300 W)
2015,30,"$50,871.00",Streets & Transportation,Street Resurfacing Menu,ON N MULLIGAN AVE FROM W DIVERSEY AVE (2800 N) TO W WELLINGTON AVE (3000 N)
2015,30,"$39,616.00",Streets & Transportation,Street Resurfacing Menu,ON N LONG AVE FROM W BARRY AVE (3100 N) TO W BELMONT AVE (3200 N)
2015,30,"$24,543.00",Streets & Transportation,Street Resurfacing Menu,ON W BARRY AVE FROM N LOCKWOOD AVE (5300 W) TO N LONG AVE (5400 W)
2015,30,"$154,442.00",Streets & Transportation,Street Resurfacing Menu,ON N PARKSIDE AVE FROM W ALTGELD ST (2500 N) TO W WRIGHTWOOD AVE (2600 N)
2015,30,"$23,352.00",Streets & Transportation,Street Resurfacing Menu,ON N LAVERGNE AVE FROM W ADDISON ST (3600 N) TO W PATTERSON AVE (3630 N)
2015,30,"$65,278.00",Streets & Transportation,Street Resurfacing Menu,ON N MEADE AVE FROM W DIVERSEY AVE (2800 N) TO W GEORGE ST (2900 N)
2015,30,"$55,493.00",Streets & Transportation,Street Resurfacing Menu,ON W SCHOOL ST FROM N MEADE AVE (6100 W) TO N MELVINA AVE (6200 W)
2015,30,"$109,303.00",Streets & Transportation,Street Resurfacing Menu (1-5),ON N MELVINA AVE FROM W WELLINGTON AVE (3000 N) TO W BELMONT AVE (3200 N)
2015,30,"$52,706.00",Streets & Transportation,Street Resurfacing Menu (1-5),ON N LAWNDALE AVE FROM W BELMONT AVE (3200 N) TO W SCHOOL ST (3300 N)
2015,30,"$106,560.00",Streets & Transportation,Street Resurfacing Menu (1-5),ON W SCHUBERT AVE FROM N LONG AVE (5400 W) TO N CENTRAL PARK AVE (3600 W)
2015,30,"$3,700.00",Streets & Transportation,Street Speed Hump Menu,ON W ROSCOE ST FROM N LONG AVE (5400 W) TO N LINDER AVE (5500 W)
2015,30,"$3,700.00",Streets & Transportation,Street Speed Hump Menu,ON N MELVINA AVE FROM W DIVERSEY AVE (2800 N) TO W GEORGE ST (2900 N)
2015,30,"$3,700.00",Streets & Transportation,Street Speed Hump Menu,ON N MELVINA AVE FROM W WRIGHTWOOD AVE (2600 N) TO W SCHUBERT AVE (2700 N)
2015,30,"$5,550.00",Streets & Transportation,Street Speed Hump Menu,ON W WRIGHTWOOD AVE FROM N MEADE AVE (6100 W) TO N MERRIMAC AVE (6230 W)
2015,30,"$1,850.00",Streets & Transportation,Street Speed Hump Menu,ON W WRIGHTWOOD AVE FROM N MOBILE AVE (6300 W) TO N MULLIGAN AVE (6330 W)
2015,30,"$3,700.00",Streets & Transportation,Street Speed Hump Menu,ON N KENNETH AVE FROM W BELMONT AVE (3200 N) TO W SCHOOL ST (3300 N)
2015,30,"$3,700.00",Streets & Transportation,Street Speed Hump Menu,ON N KENTON AVE FROM W ROSCOE ST (3400 N) TO W CORNELIA AVE (3500 N)
2015,30,"$1,850.00",Streets & Transportation,Street Speed Hump Menu,ON W WELLINGTON AVE FROM N AUSTIN AVE (6000 W) TO N MCVICKER AVE (6030 W)
