,Ward,Alderperson,Start Date,End Date,Party,Notes,Clean Ward,Start Year,End Year
104,1st,Proco Joe Moreno,"March 26, 2010","May 20, 2019",Democratic,,1,2010,2019.0
105,1st,Daniel La Spata,"May 20, 2019",present,Democratic,,1,2019,
19,10,Susan Sadlowski Garza,"May 18, 2015","May 15, 2023",,,10,2015,2023.0
18,10,John Pope,May 1999,May 2015,,,10,1999,2015.0
22,11,Patrick Daley Thompson,"May 18, 2015","February 14, 2022",,,11,2015,2022.0
21,11,James Balcer,1997,2015,,,11,1997,2015.0
23,11,Nicole Lee,"March 28, 2022",present,,,11,2022,
24,12,George Cardenas,2003,2022,,,12,2003,2022.0
25,12,Anabel Abarca,"December 14, 2022","May 15, 2023",,,12,2022,2023.0
26,12,Julia Ramirez,"May 15, 2023",present,,,12,2023,
28,13,Marty Quinn,May 2011,present,,,13,2011,
134,14th,Edward M. Burke,"March 14, 1969",Present,Democratic,,14,1969,
29,15,Toni Foulkes,2015,2019,,,15,2015,2019.0
30,15,Raymond Lopez,"May 18, 2015",present,,,15,2015,
34,16,Toni Foulkes,2015,2019,,,16,2015,2019.0
35,16,Stephanie Coleman,"May 20, 2019",present,,,16,2019,
37,17,David H. Moore,"May 18, 2015",present,,,17,2015,
36,17,Latasha Thomas,2000,2015,,,17,2000,2015.0
38,18,Derrick Curtis,"May 18, 2015",present,,,18,2015,
143,19th,Matthew O'Shea,2011,present,Democratic,,19,2011,
115,2nd,Brian K. Hopkins,May 2015,present,Democratic,,2,2015,
114,2nd,Robert Fioretti,"May 21, 2007",May 2015,Democratic,,2,2007,2015.0
40,20,Willie Cochran,2007,2019,,,20,2007,2019.0
41,20,Jeanette Taylor,"May 20, 2019",present,,,20,2019,
44,21,Howard Brookins Jr.,May 2003,"May 15, 2023",,,21,2003,2023.0
46,22,Ricardo Muñoz,January 1993,"May 20, 2019",,,22,1993,2019.0
47,22,Michael D. Rodriguez,"May 20, 2019",present,,,22,2019,
49,23,Michael R. Zalewski,May 1995,"May 31, 2018",,,23,1995,2018.0
50,23,Silvana Tabares,"June 28, 2018",present,,,23,2018,
53,24,Michael Scott Jr.,"May 18, 2015","June 3, 2022",,,24,2015,2022.0
147,25th,Daniel Solis,1996,2019,Democratic,,25,1996,2019.0
148,25th,Byron Sigcho-Lopez,2019,present,Democratic,,25,2019,
154,26th,Roberto Maldonado,2009,present,Democratic,,26,2009,
160,27th,Walter Burnett Jr.,May 1995,present,Democratic,,27,1995,
54,28,Jason Ervin,"January 13, 2011",present,,,28,2011,
56,29,Deborah L. Graham,2010,2015,,,29,2010,2015.0
57,29,Chris Taliaferro,"May 18, 2015",present,,,29,2015,
