,Clean Ward,Alderperson,Start Date,End Date,filled_year,year,category,calls,num_projects,total_cost
170,5,Leslie Hairston,May 1999,"May 15, 2023",2020,2020,Beautification,1673,0,0
171,5,Leslie Hairston,May 1999,"May 15, 2023",2020,2020,Bike Infrastructure,9,0,0
172,5,Leslie Hairston,May 1999,"May 15, 2023",2020,2020,Lighting,201,3,870000
173,5,Leslie Hairston,May 1999,"May 15, 2023",2020,2020,Parks & Recreation,6,0,0
174,5,Leslie Hairston,May 1999,"May 15, 2023",2020,2020,"Plants, Gardens, & Sustainability",215,0,0
175,5,Leslie Hairston,May 1999,"May 15, 2023",2020,2020,Security Cameras,140,0,0
176,5,Leslie Hairston,May 1999,"May 15, 2023",2020,2020,Streets & Transportation,3513,9,449999
177,5,Leslie Hairston,May 1999,"May 15, 2023",2021,2021,Beautification,942,0,0
178,5,Leslie Hairston,May 1999,"May 15, 2023",2021,2021,Bike Infrastructure,10,0,0
179,5,Leslie Hairston,May 1999,"May 15, 2023",2021,2021,Lighting,108,2,465000
180,5,Leslie Hairston,May 1999,"May 15, 2023",2021,2021,Parks & Recreation,14,0,0
181,5,Leslie Hairston,May 1999,"May 15, 2023",2021,2021,"Plants, Gardens, & Sustainability",213,0,0
182,5,Leslie Hairston,May 1999,"May 15, 2023",2021,2021,Security Cameras,126,1,214482
183,5,Leslie Hairston,May 1999,"May 15, 2023",2021,2021,Streets & Transportation,2944,17,820517
184,5,Leslie Hairston,May 1999,"May 15, 2023",2022,2022,Beautification,630,0,0
185,5,Leslie Hairston,May 1999,"May 15, 2023",2022,2022,Bike Infrastructure,36,0,0
186,5,Leslie Hairston,May 1999,"May 15, 2023",2022,2022,Lighting,125,2,431900
187,5,Leslie Hairston,May 1999,"May 15, 2023",2022,2022,Parks & Recreation,8,0,0
188,5,Leslie Hairston,May 1999,"May 15, 2023",2022,2022,"Plants, Gardens, & Sustainability",289,0,0
189,5,Leslie Hairston,May 1999,"May 15, 2023",2022,2022,Security Cameras,110,2,35747
190,5,Leslie Hairston,May 1999,"May 15, 2023",2022,2022,Streets & Transportation,3216,14,933994
191,5,Leslie Hairston,May 1999,"May 15, 2023",2023,2023,Beautification,546,0,0
192,5,Leslie Hairston,May 1999,"May 15, 2023",2023,2023,Bike Infrastructure,35,0,0
193,5,Leslie Hairston,May 1999,"May 15, 2023",2023,2023,Lighting,78,3,553913
194,5,Leslie Hairston,May 1999,"May 15, 2023",2023,2023,Parks & Recreation,2,0,0
195,5,Leslie Hairston,May 1999,"May 15, 2023",2023,2023,"Plants, Gardens, & Sustainability",372,0,0
196,5,Leslie Hairston,May 1999,"May 15, 2023",2023,2023,Security Cameras,56,0,0
197,5,Leslie Hairston,May 1999,"May 15, 2023",2023,2023,Streets & Transportation,2607,11,946086
198,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2018,2018,Lighting,54,1,200000
199,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2018,2018,"Plants, Gardens, & Sustainability",215,0,0
200,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2018,2018,Security Cameras,0,1,54022
201,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2018,2018,Streets & Transportation,129,27,1065977
202,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2019,2019,Beautification,6525,0,0
203,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2019,2019,Bike Infrastructure,1,0,0
204,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2019,2019,Lighting,1013,0,0
205,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2019,2019,Parks & Recreation,33,0,0
206,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2019,2019,"Plants, Gardens, & Sustainability",438,0,0
207,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2019,2019,Security Cameras,439,1,24776
208,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2019,2019,Streets & Transportation,5728,33,1294723
209,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2020,2020,Beautification,6630,0,0
210,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2020,2020,Bike Infrastructure,4,0,0
211,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2020,2020,Lighting,777,0,0
212,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2020,2020,Parks & Recreation,11,0,0
213,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2020,2020,"Plants, Gardens, & Sustainability",368,0,0
214,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2020,2020,Security Cameras,568,1,24776
215,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2020,2020,Streets & Transportation,4708,34,1295223
216,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2021,2021,Beautification,3725,0,0
217,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2021,2021,Bike Infrastructure,13,0,0
218,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2021,2021,Lighting,394,5,276697
219,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2021,2021,Parks & Recreation,40,0,0
220,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2021,2021,"Plants, Gardens, & Sustainability",436,0,0
221,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2021,2021,Security Cameras,501,0,0
222,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2021,2021,Streets & Transportation,3934,34,1223302
223,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2022,2022,Beautification,2309,0,0
224,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2022,2022,Bike Infrastructure,53,0,0
225,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2022,2022,Lighting,290,1,252
226,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2022,2022,Parks & Recreation,21,0,0
227,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2022,2022,"Plants, Gardens, & Sustainability",834,0,0
228,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2022,2022,Security Cameras,558,1,24776
229,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2022,2022,Streets & Transportation,4012,38,1474971
230,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2023,2023,Beautification,2297,0,0
231,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2023,2023,Bike Infrastructure,38,0,0
232,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2023,2023,Lighting,296,2,489500
233,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2023,2023,Parks & Recreation,15,2,125000
234,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2023,2023,"Plants, Gardens, & Sustainability",1121,0,0
235,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2023,2023,Security Cameras,581,0,0
236,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",2023,2023,Streets & Transportation,3818,23,885070
237,7,Gregory Mitchell,"May 18, 2015",present,2018,2018,Lighting,59,0,0
238,7,Gregory Mitchell,"May 18, 2015",present,2018,2018,"Plants, Gardens, & Sustainability",191,0,0
239,7,Gregory Mitchell,"May 18, 2015",present,2018,2018,Streets & Transportation,46,41,1318799
240,7,Gregory Mitchell,"May 18, 2015",present,2019,2019,Beautification,3245,0,0
241,7,Gregory Mitchell,"May 18, 2015",present,2019,2019,Lighting,567,1,500
242,7,Gregory Mitchell,"May 18, 2015",present,2019,2019,Parks & Recreation,7,0,0
243,7,Gregory Mitchell,"May 18, 2015",present,2019,2019,"Plants, Gardens, & Sustainability",431,0,0
244,7,Gregory Mitchell,"May 18, 2015",present,2019,2019,Security Cameras,176,1,24776
245,7,Gregory Mitchell,"May 18, 2015",present,2019,2019,Streets & Transportation,4283,46,1294723
246,7,Gregory Mitchell,"May 18, 2015",present,2020,2020,Beautification,2427,1,1200
247,7,Gregory Mitchell,"May 18, 2015",present,2020,2020,Bike Infrastructure,1,0,0
248,7,Gregory Mitchell,"May 18, 2015",present,2020,2020,Lighting,370,10,108000
249,7,Gregory Mitchell,"May 18, 2015",present,2020,2020,Parks & Recreation,6,0,0
250,7,Gregory Mitchell,"May 18, 2015",present,2020,2020,"Plants, Gardens, & Sustainability",411,0,0
251,7,Gregory Mitchell,"May 18, 2015",present,2020,2020,Security Cameras,265,0,0
252,7,Gregory Mitchell,"May 18, 2015",present,2020,2020,Streets & Transportation,3688,60,1210799
253,7,Gregory Mitchell,"May 18, 2015",present,2021,2021,Beautification,2686,0,0
254,7,Gregory Mitchell,"May 18, 2015",present,2021,2021,Bike Infrastructure,1,0,0
255,7,Gregory Mitchell,"May 18, 2015",present,2021,2021,Lighting,164,10,355000
256,7,Gregory Mitchell,"May 18, 2015",present,2021,2021,Parks & Recreation,21,0,0
257,7,Gregory Mitchell,"May 18, 2015",present,2021,2021,"Plants, Gardens, & Sustainability",434,0,0
258,7,Gregory Mitchell,"May 18, 2015",present,2021,2021,Security Cameras,304,0,0
259,7,Gregory Mitchell,"May 18, 2015",present,2021,2021,Streets & Transportation,3139,50,1144999
260,7,Gregory Mitchell,"May 18, 2015",present,2022,2022,Beautification,1779,1,28341
261,7,Gregory Mitchell,"May 18, 2015",present,2022,2022,Bike Infrastructure,7,0,0
262,7,Gregory Mitchell,"May 18, 2015",present,2022,2022,Lighting,164,3,2000
263,7,Gregory Mitchell,"May 18, 2015",present,2022,2022,Parks & Recreation,9,0,0
264,7,Gregory Mitchell,"May 18, 2015",present,2022,2022,"Plants, Gardens, & Sustainability",463,0,0
265,7,Gregory Mitchell,"May 18, 2015",present,2022,2022,Security Cameras,311,0,0
266,7,Gregory Mitchell,"May 18, 2015",present,2022,2022,Streets & Transportation,3088,38,1425618
267,7,Gregory Mitchell,"May 18, 2015",present,2023,2023,Beautification,1907,0,0
268,7,Gregory Mitchell,"May 18, 2015",present,2023,2023,Bike Infrastructure,3,0,0
269,7,Gregory Mitchell,"May 18, 2015",present,2023,2023,Lighting,203,1,500
270,7,Gregory Mitchell,"May 18, 2015",present,2023,2023,Parks & Recreation,5,0,0
271,7,Gregory Mitchell,"May 18, 2015",present,2023,2023,"Plants, Gardens, & Sustainability",811,0,0
272,7,Gregory Mitchell,"May 18, 2015",present,2023,2023,Security Cameras,303,0,0
273,7,Gregory Mitchell,"May 18, 2015",present,2023,2023,Streets & Transportation,2661,41,1215693
274,8,Michelle A. Harris,"December 13, 2006",present,2018,2018,Lighting,72,7,639500
275,8,Michelle A. Harris,"December 13, 2006",present,2018,2018,"Plants, Gardens, & Sustainability",260,0,0
276,8,Michelle A. Harris,"December 13, 2006",present,2018,2018,Streets & Transportation,119,23,680498
277,8,Michelle A. Harris,"December 13, 2006",present,2019,2019,Beautification,3565,0,0
278,8,Michelle A. Harris,"December 13, 2006",present,2019,2019,Bike Infrastructure,1,0,0
279,8,Michelle A. Harris,"December 13, 2006",present,2019,2019,Lighting,966,2,121636
280,8,Michelle A. Harris,"December 13, 2006",present,2019,2019,Parks & Recreation,11,0,0
281,8,Michelle A. Harris,"December 13, 2006",present,2019,2019,"Plants, Gardens, & Sustainability",563,0,0
282,8,Michelle A. Harris,"December 13, 2006",present,2019,2019,Security Cameras,283,0,0
283,8,Michelle A. Harris,"December 13, 2006",present,2019,2019,Streets & Transportation,7322,25,793363
284,8,Michelle A. Harris,"December 13, 2006",present,2020,2020,Beautification,3663,0,0
285,8,Michelle A. Harris,"December 13, 2006",present,2020,2020,Bike Infrastructure,1,0,0
286,8,Michelle A. Harris,"December 13, 2006",present,2020,2020,Lighting,715,7,353863
287,8,Michelle A. Harris,"December 13, 2006",present,2020,2020,Parks & Recreation,5,0,0
288,8,Michelle A. Harris,"December 13, 2006",present,2020,2020,"Plants, Gardens, & Sustainability",570,0,0
289,8,Michelle A. Harris,"December 13, 2006",present,2020,2020,Security Cameras,392,0,0
290,8,Michelle A. Harris,"December 13, 2006",present,2020,2020,Streets & Transportation,6068,29,966136
291,8,Michelle A. Harris,"December 13, 2006",present,2021,2021,Beautification,2812,1,1000
292,8,Michelle A. Harris,"December 13, 2006",present,2021,2021,Bike Infrastructure,3,0,0
293,8,Michelle A. Harris,"December 13, 2006",present,2021,2021,Lighting,365,7,330204
